time_sec,speed_m_s,temperature_C,altitude_m,pressure_hPa
0,0,15,0,1013
1,5,14.7,50,1007
2,10,14.4,100,1001
3,15,14.1,150,995
4,20,13.8,200,989
5,25,13.5,250,983
6,30,13.2,300,977
7,35,12.9,350,971
8,40,12.6,400,965
9,45,12.3,450,959
10,50,12,500,953
11,48,11.3,600,940
12,46,10.6,700,927
13,44,9.9,800,914
14,42,9.2,900,901
15,40,8.5,950,895
16,35,7.8,980,892
17,30,7.1,995,890
18,25,6.5,1000,889
19,20,7.8,980,892
20,15,8.5,950,895
21,12,9.2,900,901
22,10,9.9,850,907
23,8,10.6,800,913
24,6,11.3,750,919
25,5,12,700,925
26,4,12.6,650,931
27,3,13.2,600,937
28,2,13.8,550,943
29,1,14.4,500,949
30,0.5,15,450,955
31,0.3,15,400,961
32,0.2,15,350,967
33,0.1,15,300,973
34,0.05,15,250,979
35,0.02,15,200,985
36,0.01,15,150,991
37,0,15,100,997
38,0,15,50,1003
39,0,15,10,1010
40,0,15,0,1013
