time_sec,speed_m_s,temperature_C,altitude_m,pressure_hPa
660, 9.46389e-07, 20.6551, 23.0727, 1010.48
661, -5.52061e-07, 20.6475, 23.3687, 1010.45
662, 8.28083e-07, 20.6426, 22.9248, 1010.5
663, -4.53464e-07, 20.6426, 23.1678, 1010.47
664, -6.90076e-07, 20.64, 23.5378, 1010.43
665, 2.76034e-07, 20.6375, 23.3898, 1010.44
666, -2.9576e-07, 20.6227, 23.5483, 1010.43
667, 1.16328e-06, 20.6176, 22.9248, 1010.5
668, -6.50644e-07, 20.6102, 23.2735, 1010.46
669, -3.7461e-07, 20.6027, 23.4744, 1010.43
670, 4.53486e-07, 20.5977, 23.2313, 1010.46
671, -7.29523e-07, 20.5928, 23.6223, 1010.42
672, 3.74626e-07, 20.5828, 23.4215, 1010.44
673, 1.49846e-06, 20.5877, 22.6182, 1010.54
674, -5.32352e-07, 20.5877, 22.9036, 1010.5
675, -1.06471e-06, 20.5877, 23.4744, 1010.43
676, 5.91505e-08, 20.5951, 23.4426, 1010.44
677, -7.88768e-08, 20.5828, 23.4849, 1010.43
678, 1.97179e-07, 20.5951, 23.3792, 1010.45
679, -1.97179e-07, 20.5928, 23.4849, 1010.43
680, 3.94388e-08, 20.5877, 23.4638, 1010.43
681, 2.56331e-07, 20.5902, 23.3264, 1010.45
682, -6.50677e-07, 20.5877
